시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
O,3320,학습 + 추가학습,4 대 6,탄소/Noun,"원광/Noun, 쇄량/Noun, 고다/Noun, 온실가스/Noun, 펠렛형/Noun","-0.0994481, -0.07996102, -0.10885178, -0.02221701, 0.41214195, 0.13325627, 0.6915158, 1.07744634, 0.20521769, 0.17991225, -0.40067559, 0.10478343, 0.52609253, 0.75922495, -0.22214369, -0.19130318, -0.21025494, 0.94060469, -0.11985776, 0.18467635, -0.56007564, -0.446621, 0.02491393, 0.65118039, 0.28363559, 0.1314536, -0.51314563, -0.0646731, -0.15976478, -0.01691616, 0.26185381, -0.03504054, 0.00340928, 0.3196772, 0.45788702, -0.13898592, 0.48069263, -0.24683246, 1.00104809, 0.07931633, 1.54789984, 0.24087399, -0.2021019, 0.23806651, 0.08984067, 0.83120126, 0.25817159, 0.20908915, -0.47103161, 0.13716918"
O,3320,학습 + 추가학습 + 추가학습,5 대 2 대 3,탄소/Noun,"원광/Noun, 농림축산식품부/Noun, 풀러렌/Noun, 절하/Noun, 격리/Noun","-0.18278201, 0.42263082, -0.57011968, 0.01491377, 0.08388309, -0.0077404, 0.45957536, 1.02471459, -0.44471094, 0.72966218, -0.02844615, 0.29277933, 0.48604572, 0.51876414, -0.02274245, -0.17804037, 0.07961768, 0.22313599, -0.15755403, -0.23724692, -0.5622282, -0.21182385, 0.46964809, -0.42677063, 0.14869474, -0.54431874, -0.52862841, 0.19568379, -0.21337083, 0.22287165, 0.68766069, 0.10980859, 0.80665243, -0.29997805, 0.39918119, 0.37293279, 0.02058243, 0.57794136, -0.08812243, -0.52402806, 0.79035574, -0.43568191, -0.20596647, 0.44105172, -0.40827501, 0.03189282, 0.63878769, -0.75284594, 0.01950092, -0.14383079"
O,3320,학습 + 추가학습 + 추가학습,5 대 3 대 2,탄소/Noun,"원광/Noun, 격리/Noun, 쇄량/Noun, 고다/Noun, 핵금/Noun","-0.20106037, 0.48174638, -0.58384228, -0.08218887, 0.23494782, 0.07730218, 0.33609301, 1.15989852, -0.41972384, 0.66417634, 0.19822088, 0.10226731, 0.4018566, 0.53042746, -0.12784232, 0.10724239, 0.39955139, 0.25669986, -0.12114073, -0.08513524, -0.70100516, -0.43535554, 0.68092865, -0.55917668, 0.11770593, -0.29995039, -0.72246522, -0.02394364, -0.33878124, 0.33990791, 0.5046342, 0.09155643, 0.70700961, -0.12353875, 0.59337574, 0.59400457, 0.25514165, 0.83241731, -0.11399615, -0.45120382, 1.00836933, -0.48884013, -0.06621957, 0.62754107, -0.22554736, -0.07039875, 0.45460898, -0.8720631, -0.05560721, -0.24872133"
O,3320,학습 + 추가학습,5 대 5,탄소/Noun,"격리/Noun, 원광/Noun, 쇄량/Noun, 고다/Noun, 탄소지/Noun","-0.23115373, 0.45346144, -0.69767708, -0.14420936, 0.25023061, 0.08471136, 0.44669268, 1.14607561, -0.51491565, 0.75733423, 0.21282062, 0.15981562, 0.32438955, 0.60494381, 0.02912992, -0.02734588, 0.29575184, 0.13156354, -0.18055609, -0.17203711, -0.69034868, -0.20730674, 0.4819358, -0.55120426, 0.15221867, -0.3663834, -0.55463421, 0.22442584, -0.35080606, 0.15569204, 0.69778025, 0.075456, 0.89267772, -0.16618803, 0.36461329, 0.50867778, 0.20095046, 0.69679552, -0.02465745, -0.4876388, 0.89784664, -0.45259908, -0.09550296, 0.7568301, -0.36562732, -0.08453876, 0.73652494, -0.77498978, -0.00862601, -0.11075496"
O,3320,학습 + 추가학습,6 대 4,탄소/Noun,"원광/Noun, 과고/Noun, 물탄/Noun, 팰렛/Noun, 차두송/Noun","0.38497058, 0.21427023, -0.33635053, -0.6675607, 0.58733839, 0.14439921, 0.31582168, -0.54432851, -0.36810488, 0.29304603, -0.48423073, 0.28011191, -0.19808319, -0.15949251, -0.19318253, -0.19843313, 0.39582881, 0.16210291, 0.05126354, 0.39650083, 1.00750709, -0.08006544, 0.48872575, -0.25909647, 0.71370244, 0.79121685, -0.55902714, 0.00017109, 0.49580765, 0.69616485, -0.73005825, -0.07932204, 0.05486801, 0.26039615, 0.57160562, 0.35931644, 0.44473967, 0.08145296, 0.47629771, -0.07491528, 0.5280987, 0.45972201, -0.81265765, 0.24527033, 0.71853161, -0.2203753, 0.50761956, -0.28637785, 0.15180111, 0.93041933"
O,3320,학습 + 추가학습,7 대 3,탄소/Noun,"원광/Noun, 나노튜브/Noun, 질화붕소/Noun, 화나다/Verb, 닥섬유/Noun","-0.21897574, -0.60968858, -0.91810769, -0.05782346, 0.55810326, -0.03200042, 1.18691611, 0.22112484, -0.02295594, -0.51492411, 0.28147671, -0.41505292, -0.17091639, -0.60834962, -1.20947957, 0.48523906, 0.40699631, 0.01700041, 0.38657984, -0.86548966, 0.71502215, 0.67736381, -0.32280999, 0.15122528, -0.52857655, 0.0618792, -0.58936447, 0.30513063, -0.53282088, 0.12308384, 0.05189463, -0.29049465, 0.08822513, -0.08751965, -0.49611297, 0.08125053, 0.45308805, 0.42040238, -0.91109294, 0.26915348, 0.47295552, -0.39569205, -0.25535572, 0.19855937, 0.70394856, 0.39033446, -0.23135911, -0.28786775, -0.50208497, 0.3402628"
X,990,학습,,탄소/Noun,"멀다/Adjective, 감용/Noun, 골재/Noun, 시너지/Noun, 흡수/Noun","-0.2609587, 0.32850745, -0.38242641, -0.09685676, -0.50311637, -1.15559292, 0.01685771, -0.20502585, -0.27093866, -0.55688679, 0.19694622, 0.14148402, 0.27729386, -0.22441389, -0.2795831, 0.58912212, 0.18436287, 0.83874857, -0.80056357, -0.33281502, 0.04918722, 0.40663272, 0.25973195, -0.62311006, 0.13188201, 0.44368142, 0.47177732, 0.47025272, -0.30343682, 0.02461812, 0.72861576, -0.54343873, -0.20420477, 0.05982861, 0.15700699, -0.47380671, 0.60381806, 0.10469322, 0.55346847, -0.40804482, -0.1034812, 0.27918139, 0.34245351, -0.10203693, 0.96590483, 0.54965895, 0.38993031, -0.81252998, 0.72764832, -0.5840385"
X,990,학습 + 추가학습,3 대 7,탄소/Noun,"시너지/Noun, 멀다/Adjective, 골재/Noun, 방사선/Noun, 복잡하다/Adjective","0.06554076, -0.58604884, -0.18360171, -0.15875612, -0.04303745, 0.05290389, 0.53649437, 0.0025411, 0.25715095, -0.62359536, 0.60649842, -0.59914029, -0.07735937, -0.09074619, -0.16602392, 0.67100632, -0.46019539, 0.62070251, -0.65702689, -0.58921671, 0.37046453, 0.5911203, 1.11997378, -0.54765123, -0.48926753, 0.15342945, 0.28251103, 0.18046413, -0.48792151, -0.24869408, 0.74065167, -0.15739769, 0.07429105, -0.20888893, -0.29406998, -0.44184676, -0.20324329, -0.09302938, 1.1020875, 0.23012833, 0.17944244, 0.2974146, 1.08639693, 0.43865621, 1.13124871, 0.55243075, -0.48265955, -0.60499507, 0.92691344, -0.15258239"
X,990,학습 + 추가학습,4 대 6,탄소/Noun,"멀다/Adjective, 합의/Noun, 방법론/Noun, 정수/Noun, 교토의정서/Noun","-0.32285985, -0.01480527, -0.17064007, 0.34738114, 0.07131313, -0.92665887, 0.85461003, -0.24593472, -0.58459407, -0.13168345, -0.10242516, -1.13696742, 0.2961219, 0.28927219, -0.71549964, 0.98229891, -0.15727356, 0.33224511, -0.36935908, -0.48019144, -0.07448401, 0.36833417, 0.72587025, 0.71143234, 0.15010162, 0.74351954, 0.06117586, 0.07024884, -0.18565777, -0.55475712, 0.37630057, -1.03575575, -0.31277561, 0.03840037, -0.06890833, -0.19847569, -0.29707134, -0.543369, 0.4085063, 0.07214429, 0.48734388, 0.19736373, -0.84743482, 0.1532207, 0.40433976, 0.43027329, 0.73872197, -0.52096736, 1.17080152, -0.80998534"
X,990,학습 + 추가학습 + 추가학습,5 대 2 대 3,탄소/Noun,"시너지/Noun, 나노튜브/Noun, 질화붕소/Noun, 최종성/Noun, 고도화/Noun","0.46463665, 0.24964797, -0.36288744, -0.45252171, 0.11135097, -0.48638132, -0.09033144, -0.31917882, -0.68730396, -0.0992972, -0.33172753, -0.94479042, 0.96316946, -0.51771009, 0.09915052, 0.32817417, -0.1421881, 0.42956838, -0.43474337, -0.40419269, 0.39139754, 0.50654536, 0.19375838, -0.28075156, 0.00039999, 0.50167799, 0.79463983, 0.81298232, -0.20503117, 0.22778827, 0.26262799, -0.1198672, -0.65762061, -0.29208991, -0.62082475, 0.65374345, 0.55589575, -0.5436995, 0.43888742, -0.81362659, 0.37292069, 0.6850003, 0.54039735, -0.3626281, 0.81012648, 0.35289079, 0.16392364, -0.35665506, 0.87309152, 0.49767643"
X,990,학습 + 추가학습 + 추가학습,5 대 3 대 2,탄소/Noun,"질화붕소/Noun, 전체/Noun, 도로/Noun, 멀다/Adjective, 용량/Noun","0.45729679, 0.08985467, -0.28296542, -0.31031972, 0.04656245, -0.70515245, -0.24938968, -0.34620661, -0.81565922, -0.0864764, -0.06235112, -1.36856985, 0.93196309, -0.52302557, 0.0510006, 0.46461421, -0.08940852, 0.15133925, -0.7771076, -0.06768966, 0.32512709, 0.51075602, 0.08356133, -0.11125132, 0.08157209, 0.60235423, 0.74036473, 0.68524337, -0.15479428, 0.14940464, 0.4436914, 0.37096494, -0.79801983, -0.15050915, -0.58526111, 0.55114043, 0.67953265, -0.85223234, 0.35990366, -0.62954462, 0.23447818, 0.57836276, 0.66828394, -0.41557792, 1.08825946, 0.7244426, 0.48970914, -0.52825207, 0.6404646, 0.49976212"
X,990,학습 + 추가학습,5 대 5,탄소/Noun,"멀다/Adjective, 골재/Noun, 맥신/Noun, 촉진/Noun, 합의/Noun","0.77738321, 0.27865797, 0.01924762, 0.22437319, -0.27213079, -0.40051126, 0.09238768, -0.26518059, -0.93953753, 0.04095851, 0.21782406, -0.95504266, 1.07955158, -0.17939834, 0.07609767, 0.78567481, 0.17313722, -0.12013315, -0.49243036, -0.46783397, 0.39999786, 0.19804941, 0.29803681, -0.6652742, 0.46905765, 0.79101384, 0.97334599, -0.15636723, -0.07330969, 0.22581613, -0.23048621, -0.3975597, -0.42532259, -0.71563464, -0.54009992, 0.57216871, 0.5111531, -0.90260166, 0.76317549, -0.08499591, 0.26931363, 0.81649035, 0.61070502, 0.43665555, 0.23721136, 0.47607067, -0.07720976, -0.89295846, 0.60644716, 0.02550321"
X,990,학습 + 추가학습,6 대 4,탄소/Noun,"다공/Noun, 멀다/Adjective, 탄소지/Noun, 방사선/Noun, 고안/Noun","-0.88017887, 0.32257298, -0.16067688, 0.32020873, 0.37416747, -0.73000556, 0.78977841, 0.44123724, -0.71795988, 0.02280817, 0.15908585, -0.66747189, 0.77192676, -0.16982049, -0.17000951, 0.09819438, -0.13907219, -0.35254574, -1.02712321, 0.13063619, 0.85637605, -0.31204638, 1.15029275, 0.40536982, 0.66736954, -0.36063942, -0.16840686, -0.06336161, 0.21443544, -0.36697289, -0.14015684, 0.32783851, 0.0993523, -0.50990444, 0.1900712, 0.56901217, 0.69343078, 0.05957088, -0.66646612, 0.50622374, 0.52096915, 0.18380676, 0.74901891, 0.38092193, 0.61372399, 0.73366278, -0.36065015, -0.62221682, 0.04753957, 0.59956414"
X,990,학습 + 추가학습,7 대 3,탄소/Noun,"감용/Noun, 시너지/Noun, 탄소지/Noun, 와이어/Noun, 멀다/Adjective","-0.08948002, 0.13671415, 0.13409422, 0.09909713, 0.29660407, -0.14236064, 0.52988201, 1.29521227, -0.11453781, -0.20378496, 0.41945899, 0.12965441, 0.55958134, 0.27275032, 0.21415386, 0.33709648, 0.65071452, 0.22803946, -1.29968703, 0.26616061, 0.07718498, 0.29398814, 0.93900186, 0.30827928, 0.15937929, -0.18856008, 1.08422399, -0.0144636, 0.16284871, -0.20135923, -0.38497394, 0.12469439, -0.65285242, -0.41226071, 0.56604099, 0.58716732, 0.5803501, 0.06759328, -0.88029325, 0.03823451, 0.6030702, -0.69603688, 0.24277823, -0.20087144, 0.95911556, 0.93000877, -0.25965482, -0.28694904, 0.18801315, 0.55172104"
X,3320,학습,,탄소/Noun,"원광/Noun, 고다/Noun, 나노튜브/Noun, 풀러렌/Noun, 화나다/Verb","-0.01652918, 0.37617728, -0.28251225, -0.20184346, 0.39182976, -0.04084512, -0.04817214, 0.26433069, 0.45838472, 0.33285108, 0.4771449, 0.06021675, 0.61087984, -0.05315985, -0.37231261, 0.66278195, 0.30943352, -0.0231518, 0.24638712, 0.21192688, 0.61412936, -0.18052091, 0.82310629, -0.4545494, 1.19551921, 0.01577133, -0.32565665, -0.30803475, 0.00178305, -0.08137338, -0.89687872, -0.31892869, -0.13367148, -0.67889029, -0.63821137, -0.52122474, 0.19077446, 0.93489128, 0.37993929, 0.10696463, 0.22108641, -0.56532609, 0.18141179, 0.72299665, 0.77951986, 0.19592501, 0.67782301, -0.72847462, 0.10624928, 0.15070105"
X,3320,학습 + 추가학습,3 대 7,탄소/Noun,"쇄량/Noun, 풀러렌/Noun, 과고/Noun, 나노튜브/Noun, 카본/Noun","-0.32395241, 0.62532812, -0.44380629, -0.15480158, -0.66452378, -0.79327798, 0.31010067, -0.14417207, 0.27341071, -0.21297278, -0.02594062, -0.20428963, 0.19976461, 0.15854344, -0.09512083, 1.00587606, 0.61725897, 0.36341345, -0.17444667, 0.04214692, 0.3708899, -0.06479728, -0.00025356, -0.20314413, 0.60831243, 1.42695534, -0.84330797, -0.16001847, 0.0330229, -0.44295594, 0.34884173, -0.19593643, 0.32737124, 0.10350055, 0.26527736, 0.18769398, 1.22459388, -0.06429596, 0.46937251, -0.67269069, 0.14349984, -0.18394695, 0.23582639, 0.18346457, -0.07218788, -0.42216885, -0.3604058, -0.41189551, 0.54241621, 0.05159764"
X,3320,학습 + 추가학습,4 대 6,탄소/Noun,"쇄량/Noun, 탄소지/Noun, 고다/Noun, 원광/Noun, 온실가스/Noun","-0.26075011, -0.06685142, -0.31873602, -0.13177878, 0.19903594, 0.29515055, 0.85257638, 1.00872982, 0.04115413, 0.45842004, 0.1484731, -0.35552734, 0.33438256, 0.59273666, -0.38039571, -0.30988234, 0.39690581, 0.560381, -0.17374159, -0.08798479, -0.38258702, -0.22939493, -0.07424743, 0.76633507, 0.41693836, 0.44227511, -0.31629068, -0.19373651, -0.11159149, -0.2426115, 0.00105097, 0.21796311, 0.43950966, 0.35757092, -0.05734542, -0.08956345, 0.49068329, -0.26306629, 0.81478119, 0.04315516, 1.08810103, 0.4029606, -0.65387106, -0.16050206, 0.84926134, 0.79932606, 0.27546856, -0.15659313, -0.74665022, -0.18244295"
X,3320,학습 + 추가학습 + 추가학습,5 대 2 대 3,탄소/Noun,"풀러렌/Noun, 온실가스/Noun, 농림축산식품부/Noun, 핵금/Noun, 펠렛형/Noun","0.1986611, 0.42171267, -0.55562627, -0.13765441, 0.22914143, 0.39348537, 0.54648143, 0.88278204, -0.72657287, 0.57471019, 0.12716301, 0.05697386, 0.16506259, 0.60954404, 0.0260712, -0.37488648, 0.02900432, 0.60202509, -0.23304522, -0.41910341, -0.24168982, -0.88990915, 0.64234382, -0.36372772, 0.36052212, -0.33801824, 0.03616397, 0.36378619, 0.13843335, 0.04677193, -0.09290735, -0.33549723, 0.33392042, -0.15094927, 0.19110155, 0.7929337, 0.4270241, 0.74716395, 0.03260129, -0.70274341, 0.45526841, -0.51194847, 0.17814969, -0.02555149, -0.53682369, -0.1680622, 0.75984555, -0.73044407, 0.3444553, -0.0870254"
X,3320,학습 + 추가학습 + 추가학습,5 대 3 대 2,탄소/Noun,"핵금/Noun, 풀러렌/Noun, 화학전/Noun, 펠렛형/Noun, 탄소지/Noun","0.26058516, 0.68680674, -0.55303663, -0.11895853, 0.152799, 0.42790055, 0.44658437, 0.97771561, -0.7095952, 0.51284474, 0.02087683, 0.19823045, 0.22700599, 0.69862998, -0.01750881, -0.20333613, 0.35115418, 0.67383134, -0.35177931, -0.38143101, -0.46264672, -1.08013868, 0.85001177, -0.51761091, 0.33847624, -0.28617212, -0.11884914, 0.39806023, -0.08351419, -0.01251621, -0.11990836, -0.13746026, 0.24286829, -0.16274719, 0.36043018, 0.74471813, 0.39052871, 0.82593077, -0.1139209, -0.60671329, 0.60075879, -0.47935119, 0.11349557, -0.01310194, -0.20668834, -0.24014768, 0.66476196, -0.77728409, 0.45785746, 0.06090347"
X,3320,학습 + 추가학습,5 대 5,탄소/Noun,"원광/Noun, 쇄량/Noun, 상쇄할/Noun, 고다/Noun, 핵금/Noun","0.16483505, 0.31044933, -1.27133048, -0.2362289, 0.13068034, -0.18700978, 0.30202502, 0.64295918, 0.02147535, 0.65396088, -0.00085354, -0.13060315, 0.43074253, 0.57831907, -0.0734372, -0.38604698, -0.07368068, 0.34119257, 0.07414017, -0.45281643, -0.19443527, -0.28935546, 0.42176223, -0.49288034, -0.09230744, -0.22903661, -1.12397611, 0.18321839, -0.88462532, -0.18378988, -0.10412887, -0.35502386, 0.57332689, -0.07013578, -0.10206365, 0.75521058, -0.04597282, 0.85424715, 0.07658452, -0.70065486, 0.76424712, -0.55641496, -0.03334228, 0.18151547, 0.16851029, -0.02837781, 0.2886498, -0.2108797, -0.5482924, 0.19764405"
X,3320,학습 + 추가학습,6 대 4,탄소/Noun,"차두송/Noun, 나노튜브/Noun, 원광/Noun, 도작/Noun, 불화/Noun","-0.13779336, 0.37454006, -0.40071648, -0.72424155, 0.51159173, 0.24775504, 0.10216802, -0.30099183, -0.3328101, 0.59269798, -0.73190922, 0.15403473, 0.03773234, 0.18468897, -0.51792306, -0.34414959, 0.24330445, 0.34713513, 0.29607454, 0.13874534, 1.12706661, 0.14272285, 0.58315635, -0.57909447, 0.55021846, 0.83601403, -0.6234026, -0.20895852, 0.24479893, 0.45274946, -0.27921796, -0.03418572, -0.0012383, 0.16354656, 0.43154293, 0.15275988, 0.60406929, 0.27287093, 0.29624015, 0.20601636, 0.77815086, 0.43704939, -0.66976547, 0.16240488, 0.36565715, -0.41332889, 0.46022844, -0.08558514, 0.4029429, 1.00318539"
X,3320,학습 + 추가학습,7 대 3,탄소/Noun,"화나다/Verb, 소금/Noun, 화학전/Noun, 원광/Noun, 질화붕소/Noun","0.23486586, -0.11771659, -1.02119839, -0.30514601, 0.40045047, 0.24176118, 1.18617642, 0.49773127, -0.18385307, -0.37418884, 0.70426768, -0.27817103, 0.26788479, -0.39583135, -0.72674918, 0.65170354, 0.32030189, -0.38065061, 0.58186573, -0.34689116, 0.64194936, 1.08941627, 0.10485723, 0.08448166, 0.08798017, 0.34710452, -0.32148215, 0.3624948, -0.033522, -0.09835763, 0.06345979, -0.12126546, 0.65472919, 0.02964347, -0.2750313, -0.22179219, 0.44008443, 0.46062061, -1.05059242, 0.20530525, 0.39321694, -0.20938721, -0.15656133, 0.31176019, 0.60291314, 0.28756115, -0.25545877, 0.06993008, -0.19577084, 0.27173558"
