시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
O,3320,학습 + 추가학습,4 대 6,정부/Noun,"한국판/Noun, 재원/Noun, 기조/Noun, 쿠루/Noun, 정책/Noun","-0.20205595, 0.17966338, 0.14272952, -0.32243678, -0.27536225, -0.73788661, 0.20757723, 0.73834109, 0.13704403, -1.11892521, -0.03505555, -1.1966567, 0.34609166, 0.28207836, -0.11191343, -0.80610877, 0.31615242, 0.8718397, 0.27602261, -0.54908037, 0.08231574, 0.4676834, 0.46035039, -0.55445653, 0.2886053, -0.51708215, -0.82248455, -0.36518997, 0.21377599, 0.34877411, -0.55924857, 0.23122099, -0.49909252, 0.44572249, 0.07338741, 0.74181122, -0.17005582, -0.43891713, -0.14929911, 0.19675547, 0.89571118, 0.33682856, 0.53002143, 0.13326451, 0.23908412, 1.00974655, 0.56609803, 0.26095513, 0.04083225, -0.85782969"
O,3320,학습 + 추가학습 + 추가학습,5 대 2 대 3,정부/Noun,"양허/Noun, 일몰/Noun, 한국판/Noun, 가입/Noun, 에너지정책/Noun","0.03692082, 0.87473243, -0.13436452, 0.25389653, 0.8860929, -0.05677932, -0.02557711, 0.91319686, -0.8112883, -0.07467446, 0.06627647, -0.93246448, 0.14402883, -0.01332301, -0.91198784, -0.19341531, -0.22005041, -0.08793171, -0.36830887, 0.27165347, -0.0938919, 0.08290935, 0.90708345, -0.10317695, 1.30854392, -0.61111677, -0.43119326, 1.01957738, 0.06053165, 0.38175288, 0.43036067, 0.55177861, 0.55563474, -0.33703965, -0.31713155, 0.85628873, 0.03772226, 0.44477224, 0.61075079, -0.33509949, 0.42874441, -0.28362414, -0.42356491, -0.16802497, -0.43464082, 0.47194874, 0.02627068, -0.02933977, 0.433833, -0.10604431"
O,3320,학습 + 추가학습 + 추가학습,5 대 3 대 2,정부/Noun,"재원/Noun, 도지원/Noun, 에너지정책/Noun, 시책/Noun, 수소차/Noun","-0.49768284, 0.73947585, -0.17263001, 0.62084359, 0.82773495, -0.02524866, -0.16732587, 0.74991482, -1.04571247, 0.19374937, 0.05915021, -1.15399194, 0.46959922, -0.41129974, -1.03926754, -0.34398219, -0.35243398, 0.08827353, -0.30850926, 0.20691518, -0.02796123, -0.60840321, 1.42512012, 0.01711025, 1.44276011, -0.684044, -0.45382097, 1.2813617, -0.05096925, 0.22829273, 0.35389209, 0.42133403, 0.54376972, -0.10669145, 0.11998155, 1.21058798, 0.07287169, 0.64699864, 0.54927737, -0.61358732, 0.26009673, -0.554106, -0.20559283, -0.09490516, -0.08554307, 0.44348374, -0.06121844, 0.12170238, 0.62423629, 0.06710196"
O,3320,학습 + 추가학습,5 대 5,정부/Noun,"한국판/Noun, 재원/Noun, 에너지정책/Noun, 가입/Noun, 부처/Noun","-0.23556015, 0.65290511, -0.13424174, 0.35832015, 0.69337958, 0.11859901, -0.11337924, 0.82649535, -0.82420379, -0.0069617, -0.08273139, -0.80480838, 0.04870233, -0.16727793, -0.96902651, -0.23734762, -0.36493215, -0.07614019, -0.14535573, 0.06980629, -0.04942687, -0.26763442, 1.01971328, -0.08128986, 1.28217518, -0.72097206, -0.42596221, 0.94184268, -0.01893999, 0.3761377, 0.32224625, 0.45016658, 0.45598444, -0.18223284, -0.2224986, 1.0445292, 0.19044258, 0.44372404, 0.68060994, -0.43250015, 0.38333926, -0.34537506, -0.44076315, -0.31816334, -0.13222489, 0.46000949, 0.15535644, 0.28636253, 0.53680354, -0.08029476"
O,3320,학습 + 추가학습,6 대 4,정부/Noun,"정책/Noun, 한국판/Noun, 에너지정책/Noun, 직불제/Noun, 도망/Noun","0.08970687, 0.84449208, -0.65152025, 0.28085092, 0.31102708, -0.24178481, 0.04583794, -0.10149129, -0.63344336, 0.27243271, -0.17922875, 0.06063328, 0.431613, 0.46903086, 0.451222, -0.18035206, 0.68562436, 0.03430062, -0.48273429, -0.21094131, 0.36109877, 0.05922062, 0.95044589, -0.14467067, 0.35880914, 0.48283377, -1.27209032, -0.32105649, -0.72692573, 0.48823968, -0.34123778, -0.40293744, -0.66016626, -0.82086563, 0.67891395, 1.100191, -0.4201875, 0.07557523, 0.29064557, -0.07298941, -0.02302614, 0.04022781, -0.54567128, -0.33747524, 0.83288288, 0.08083865, 0.74269915, -0.59635204, 1.584602, -0.04095909"
O,3320,학습 + 추가학습,7 대 3,정부/Noun,"정책/Noun, 기조/Noun, 한국판/Noun, 파리/Noun, 에너지정책/Noun","-0.52708477, 0.02241852, 0.16116597, -0.18949722, 0.50972164, -0.67454284, 1.39563167, 0.71131527, -0.61993426, -0.15230773, 0.6250397, -1.22209775, 0.12231817, -0.07185664, -0.10081425, 0.29058686, 0.79121304, 0.02569434, 0.54648978, -0.35714677, -0.46088269, 0.3160449, -0.28463897, -0.00429204, 0.34022599, 0.77388966, -0.63854456, 0.05119807, -1.1508708, 0.79698139, 0.31785253, -0.52209312, 0.03176527, -0.44785613, -0.13898808, -0.50465113, 0.57196385, 0.58821869, 0.16548124, -0.38275486, 0.06688597, -0.30693057, 0.59017533, 0.47528794, 0.14930131, -0.87507439, 0.44098207, 0.02848767, -0.15799047, -0.32882875"
X,990,학습,,정부/Noun,"문제해결/Noun, 위기/Noun, 시점/Noun, 의무/Noun, 전세계/Noun","0.11782895, -0.17487979, 0.6142652, -0.58368874, -0.29296687, -0.55653626, 0.68934387, 0.24264379, -0.70558792, -0.02098437, 0.35590222, -0.2159187, 0.352889, -0.14458705, -0.72157902, 0.31635499, 0.61227411, 0.65238988, -0.71807218, -0.35141173, 0.44262537, -0.01350406, -0.00455705, -0.04148872, 0.33566421, -0.02173488, 0.30356526, -0.54214489, -0.33343211, -0.19792819, 0.58333862, 0.1831433, -0.27500093, -0.4396711, 0.25864965, 0.36102232, 0.2276926, -0.22890203, 0.43925139, 0.01325897, 0.74683779, -0.07125942, 0.46789867, 0.56344473, 0.49902058, -0.28887394, -0.24904658, -0.41792524, 0.16494504, 0.12210358"
X,990,학습 + 추가학습,3 대 7,정부/Noun,"주도하다/Adjective, 전세계/Noun, 나국/Noun, 문제해결/Noun, 감실/Noun","0.26486501, -0.38265201, 0.83162314, 0.36675817, -0.2320866, 0.17788209, 0.90472049, 0.58457893, 0.21029754, -0.5079726, 0.26814392, -0.70031291, 0.42958003, 0.11382214, 0.44341773, 0.36337358, 0.0934355, -0.09943143, -0.35167512, -0.74653006, -0.10510336, -0.35170007, 0.58574402, -0.44321167, -0.4245584, -0.26862422, -0.13836835, -0.30776012, -0.38686541, -0.42984542, -0.37360346, 0.12657851, -0.31488928, 0.31832048, -0.64913374, 0.46941081, 0.00880263, -0.00309241, 0.55314946, 0.05979802, 0.99711919, -0.52157831, 0.1071258, 0.01826497, 0.83318615, -0.11378112, 0.20701928, -0.31313452, -0.22395688, 0.03982564"
X,990,학습 + 추가학습,4 대 6,정부/Noun,"주도하다/Adjective, 노력/Noun, 이행/Noun, 나국/Noun, 환경부/Noun","-0.18996046, 0.45657244, 0.01380024, -0.10440906, -0.07348074, -0.6374132, 0.64557284, 0.4802691, -0.33190033, -0.42426935, -0.2652036, 0.11061376, 0.30310091, -0.06477524, 0.37579119, 0.10806788, 0.48260999, -0.23895231, -0.38080612, -0.84403139, 0.02850869, 0.6135819, 0.33824405, -0.57062197, 0.03321816, 0.64617169, -0.91807806, -0.04405853, -0.38463154, 0.17846103, 0.77216357, 0.05259263, -0.10215332, -0.45999852, -0.31530324, 0.55039018, -0.31324807, -0.40442023, 0.22558624, 0.04847903, -0.03382679, 0.31714168, -0.47557631, 0.28129074, 0.75216913, -0.59887362, 0.48111445, -0.63221788, 0.70544124, -0.00945002"
X,990,학습 + 추가학습 + 추가학습,5 대 2 대 3,정부/Noun,"파생/Noun, 수소차/Noun, 거래/Noun, 경감/Noun, 도지원/Noun","0.5340367, 0.50232244, 0.03781258, -0.4300068, 0.69187921, -1.18945062, 0.53410518, 0.38568747, -0.29725066, -0.14343363, -0.72540057, -0.75627768, 0.74575806, -0.47880656, -0.45819989, 1.12364125, -0.3124657, -0.08691952, -0.58880109, -0.25628248, -0.02054539, 0.01344518, 0.56008095, -0.58908403, -0.465312, 0.37465003, 0.25681844, 0.59331387, -0.69026679, -0.07159822, -0.10846879, 0.03023441, 0.39996246, -0.41466585, -0.3019239, 0.84307534, 0.21697484, -0.1185738, 0.59711301, -0.27170223, 0.4167259, -0.9403075, -0.70047724, 0.19377388, 0.7674309, 1.10336959, -0.53398663, 0.37199745, -0.09505522, -0.3609511"
