시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
O,3320,학습 + 추가학습,4 대 6,과제/Noun,"보다/Verb, 연구개발/Noun, 결과물/Noun, 연구/Noun, 성공/Noun","0.18370654, 0.05282288, 0.60120142, 0.47265145, 0.44976971, -0.26849023, 0.1521866, 0.6452058, -0.55028701, -0.68987352, -0.01454506, -0.73835331, 0.69680506, 0.15196387, -0.39186266, 0.63107407, 0.42757794, 0.35381028, -0.27961448, -0.4783386, -0.4876107, -0.05337776, -0.00078597, -0.18901549, 0.7671001, 0.17284444, 0.09567031, -0.21757111, -0.22639126, 0.30392244, 0.05242232, -0.4056142, -0.49127972, 0.23733334, 0.39808753, 0.04941655, 0.25530908, -1.07223177, -0.08098303, -0.40682685, 0.43560576, 0.80377388, -0.30603409, -0.13671334, 0.55546522, 0.61455411, 0.05034741, 0.19045262, 0.07383709, -0.32455406"
O,3320,학습 + 추가학습 + 추가학습,5 대 2 대 3,과제/Noun,"보다/Verb, 형편/Noun, 연구/Noun, 충실하다/Adjective, 성실하다/Adjective","0.11939784, 0.33325854, -0.52133876, 0.19561252, -0.01659422, -0.76240289, 0.32617584, 0.35844895, -0.8902213, -0.30024871, 0.34842077, -0.17020437, -0.18594518, 0.25145882, -0.18949522, 0.47746572, 0.55317587, -0.22070165, -0.51245832, -0.17299493, 0.19954601, -0.45484197, 0.30909911, -0.04135321, 0.74623764, -0.49969804, -0.17756125, 0.51978654, -0.21950191, 0.04476539, 0.37809294, 0.09589671, 0.37573123, 0.42709684, -0.51048756, 0.65737122, 0.80650085, -0.3633669, -0.20362754, -0.01331481, 0.7558713, -0.00049299, -0.16802576, 0.34288901, 0.2956098, 0.81476945, 0.04677071, -0.11392259, 0.21284163, 0.0391045"
O,3320,학습 + 추가학습 + 추가학습,5 대 3 대 2,과제/Noun,"보다/Verb, 결과물/Noun, 연구/Noun, 형편/Noun, 금번/Noun","-0.16708633, 0.33952937, -0.38659206, 0.27383617, 0.19580318, -0.68348694, 0.62954462, 0.30570152, -0.89120322, -0.53379923, 0.54016757, -0.52906591, -0.14566945, 0.46209392, -0.18596417, 0.50354993, 0.96059096, -0.15563306, -1.01693416, -0.08942813, 0.15653595, -0.50508338, 0.38871536, -0.23223065, 0.77150983, -0.48009714, -0.15181938, 0.54714096, -0.03018431, 0.01564944, 0.22450273, -0.17157406, 0.36135241, 0.46890491, -0.43776539, 0.79062033, 0.76671034, -0.10559485, -0.39478621, -0.19087464, 0.89745051, -0.03064701, -0.19842957, 0.24363796, 0.33247155, 0.38395169, 0.02097503, -0.08956502, 0.45017046, 0.17060027"
O,3320,학습 + 추가학습,5 대 5,과제/Noun,"보다/Verb, 연구/Noun, 임본/Noun, 충실하다/Adjective, 결과물/Noun","0.04045815, 0.46208009, -0.48607883, 0.29782319, 0.16350415, -0.75482255, 0.44277075, 0.29635257, -0.95507258, -0.45690274, 0.464908, -0.289195, -0.17140977, 0.40245408, -0.17489138, 0.49599469, 0.57073706, -0.22036168, -0.7685169, -0.04247104, 0.07215307, -0.48949903, 0.31373948, -0.05450987, 0.71097648, -0.64840817, -0.05125571, 0.53578442, -0.0218684, -0.1622069, 0.41016105, -0.13106157, 0.22303347, 0.48588127, -0.53236639, 0.65801305, 0.80022824, -0.24064791, -0.44108877, -0.11019652, 0.84720665, 0.01098568, -0.28265646, 0.21492514, 0.33279574, 0.6353116, 0.10420973, -0.08901487, 0.2116653, 0.11928114"
O,3320,학습 + 추가학습,6 대 4,과제/Noun,"보다/Verb, 연구개발/Noun, 연구/Noun, 결과물/Noun, 성공/Noun","0.26271048, 0.22742426, -0.57298601, -0.27401301, -0.02348943, -0.12880315, 0.13326712, -0.10046221, -0.58756143, -0.44943178, 0.46883821, -0.4011178, 0.74928564, -0.10476394, 0.01371723, 0.46764299, 0.41698328, -0.1354225, -0.76779926, 0.37219116, 0.5654608, -0.00249944, 0.54834789, -1.24124765, 0.03991753, 0.42625561, -0.43071312, -0.30471253, -0.1190657, -0.13634907, -0.1663868, -0.84235173, 0.27983314, -0.10635491, 0.15649599, 0.47130594, 0.07314775, -0.3489691, 0.76669323, -0.09928728, 0.47440758, 0.02145137, -0.07542765, -0.45333794, 0.74682045, 0.3131628, 0.36404839, -0.29469806, -0.21330518, 0.05279132"
O,3320,학습 + 추가학습,7 대 3,과제/Noun,"보다/Verb, 연구개발/Noun, 연구/Noun, 결과물/Noun, 수행/Noun","-0.33998194, 0.2528204, -0.64995933, -0.02429811, 0.04585823, -0.52491367, 0.33174387, 0.25453609, -1.09150314, -0.58111352, 0.36798644, -0.60327715, 0.45936221, -0.35134259, 0.05875108, 0.49695614, 0.25487202, 0.44584167, -0.50917763, -0.0580794, 0.03607434, 0.51951611, 1.12849367, -0.45012176, 0.306088, 1.00180662, -0.1035552, 0.47108367, -0.19963469, 0.0159828, -0.06980318, 0.11253783, -0.69378614, -0.11119994, 0.30790839, 0.61782885, 0.25168598, -0.29326677, -0.45042789, -0.3911863, -0.61797667, -0.06498542, 0.00288535, -0.01544101, 0.87477195, -0.04000043, 0.1892155, -0.15399875, -0.21271726, 0.00480352"
X,990,학습,,과제/Noun,"구진/Noun, 성공/Noun, 연구자/Noun, 접근/Noun, 구결/Noun","-0.00323711, 0.4037554, 1.01645982, -0.15628402, 0.33813635, -0.45270032, 0.32707003, 0.55788475, -0.31684789, -0.23493057, 0.25343466, -0.13389161, 0.36609793, -0.44453475, -0.14438906, 0.04428464, 0.45635724, 0.08491975, 0.17794356, 0.08024638, 0.60221142, -0.15954636, 0.14660698, 0.42863151, 0.00643312, 0.26862511, 0.25843769, 0.02246705, -0.24565943, -0.24498226, 0.4183611, 9.6e-07, -1.03406763, -0.3013525, -0.11572329, 0.39838162, 0.77450824, -0.62285739, 0.32801089, -0.29343799, 0.8326785, -0.26978528, 0.29133824, 0.62374353, 1.08809209, 0.73621953, -0.13564147, -0.68302929, -0.45434329, -0.06812236"
X,990,학습 + 추가학습,3 대 7,과제/Noun,"구진/Noun, 성공/Noun, 연구자/Noun, 구결/Noun, 접근/Noun","-0.09995626, -0.30095649, 0.64176327, 0.44106299, -0.20372637, 0.01716862, 0.07782572, 0.90163636, -0.00235642, 0.34253496, 0.09289592, -0.84266847, -0.27092403, 0.26120737, 0.16603774, 0.34414819, 0.79200006, -0.3236199, -0.95555681, 0.20627837, 0.1956954, 0.02388713, 0.98297572, -0.12243892, -0.25563094, 0.25898272, 0.30204421, -0.16194619, -0.06550638, -0.33028162, -0.24321693, -0.13035437, -0.54184294, -0.18073425, -0.74466515, 0.30659637, 0.96210456, -0.19870754, -0.01030679, 0.73470622, 0.70775062, 0.25837046, -0.34751916, 0.13698067, 1.25118387, -0.03047618, 0.31489101, -0.51846963, 0.28517497, 0.17020738"
X,990,학습 + 추가학습,4 대 6,과제/Noun,"성공/Noun, 구진/Noun, 접근/Noun, 따라서/Noun, 창안/Noun","-0.64961821, 1.02699935, -0.21698116, -0.33092019, 0.38708353, -0.75457531, 0.4681201, 1.45543981, -0.31181744, -0.08094561, -0.21153736, 0.02451061, 0.01878705, 0.11502645, -0.18087307, -0.00669494, 0.24085531, 0.02562638, -0.29003122, -0.45852935, 0.14361189, -0.07590365, 0.24617241, -0.13059993, -0.04553098, 0.22821963, -0.66621894, 0.79285568, -0.27972147, 0.05073863, 0.34434035, -0.32594642, -0.46301329, -0.22371557, -0.1592758, 0.65469378, 0.58110547, -0.54510385, 0.32315564, 0.7281118, 0.34912127, -0.27878228, -0.35573614, -0.20259708, 0.43363544, 0.55257028, 0.25277293, -0.96002501, 0.22667553, -0.23376861"
X,990,학습 + 추가학습 + 추가학습,5 대 2 대 3,과제/Noun,"보다/Verb, 국정/Noun, 긴밀하다/Adjective, 교류/Noun, 성공/Noun","-0.46909827, 0.23714763, -0.29913691, -0.47157925, 0.39511985, -0.86149001, 0.20691694, 1.36647844, 0.04539863, 0.33635002, -0.20413961, 0.00485986, 0.37740225, 0.71509928, -0.1205765, 0.03285219, 0.1670734, 0.68631351, -0.69926673, 0.44035789, 0.38469794, -0.04980596, 1.03993762, -0.38945359, 0.02595108, 0.1672554, 0.73775369, 0.41578367, -0.55054843, -0.09956906, -0.61369735, 0.15568811, -0.13599101, -0.11305786, -0.57880276, 0.88836336, 0.80639797, -0.52106869, -0.38455823, -0.54569805, 0.45628306, -0.6764822, -0.29660404, 0.45402473, 1.39700663, 0.66639096, 0.47901791, -0.64032346, 0.10623551, 0.40422162"
